2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,13.51,0.63,0.22,,,32.26,,2,8,8,0.1,3000,38,8,15,13.96,2.26,0.8,8,2f,3000,Standard Deviation,Individual,,0.032765945,0.003547911,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,13.51,0.63,0.22,,,32.26,,2,8,8,0.2,6000,94,8,15,13.78,2.17,0.77,8,2f,6000,Standard Deviation,Individual,,0.019788114,0.003371601,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,11.53,2.43,0.86,,,32.26,,2,8,8,0.1,3000,110,8,43,12.25,1.35,0.47,9,2g,3000,Standard Deviation,Individual,,0.060573603,0.007070303,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,11.53,2.43,0.86,,,32.26,,2,8,8,0.2,6000,270,8,43,14.41,2.88,1.02,9,2g,6000,Standard Deviation,Individual,,0.222970076,0.010545248,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,382.19,36.98,13.07,,,32.26,,2,8,8,0.1,3000,8,8,3,158.22,39.04,13.8,10,2h,3000,Standard Deviation,Individual,,-0.881931398,0.008780657,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,382.19,36.98,13.07,,,32.26,,2,8,8,0.2,6000,19,8,3,139.73,30.82,10.9,10,2h,6000,Standard Deviation,Individual,,-1.006205878,0.007251561,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,382.19,36.98,13.07,,,32.26,,2,8,8,0.4,12000,34,8,3,145.89,43.15,15.26,10,2h,12000,Standard Deviation,Individual,,-0.963064954,0.012105312,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,386.3,108.91,38.5,,,32.26,,2,8,8,0.1,3000,38,8,15,252.74,67.81,23.97,11,2i,3000,Standard Deviation,Individual,,-0.424252977,0.01893372,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,386.3,108.91,38.5,,,32.26,,2,8,8,0.2,6000,94,8,15,279.45,61.64,21.79,11,2i,6000,Standard Deviation,Individual,,-0.323790884,0.016017375,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,314.38,92.47,32.69,,,32.26,,2,8,8,0.1,3000,110,8,43,289.73,115.07,40.68,12,2j,3000,Standard Deviation,Individual,,-0.08165299,0.030531681,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,314.38,92.47,32.69,,,32.26,,2,8,8,0.2,6000,270,8,43,353.42,61.64,21.79,12,2j,6000,Standard Deviation,Individual,,0.117054706,0.014616745,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,18095.24,2461,870.09,,,32.03,,2,8,8,0.1,3000,24,8,10,9841.27,555.4,196.36,39,2k,3000,Standard Deviation,Individual,,-0.609064152,0.002710214,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,18095.24,2461,870.09,,,32.03,,2,8,8,0.2,6000,61,8,10,13015.87,5159,1823.98,39,2k,6000,Standard Deviation,Individual,,-0.329479538,0.021949972,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,18095.24,2461,870.09,,,32.03,,2,8,8,0.4,12000,119,8,10,6984.13,634.1,224.19,39,2k,12000,Standard Deviation,Individual,,-0.952008488,0.003342477,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,17619.05,2778,982.17,,,32.03,,2,8,8,0.1,3000,103,8,43,12936.51,1825,645.23,40,2l,3000,Standard Deviation,Individual,,-0.308927157,0.005595208,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Liver,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,17619.05,2778,982.17,,,32.03,,2,8,8,0.2,6000,119,8,43,11111.11,1984,701.45,40,2l,6000,Standard Deviation,Individual,,-0.461035194,0.007092948,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,23.24,5.56,1.97,,,32.03,,2,8,8,0.1,3000,24,8,10,20.08,4.8,1.7,41,2m,3000,Standard Deviation,Individual,,-0.146150637,0.014297377,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,23.24,5.56,1.97,,,32.03,,2,8,8,0.2,6000,61,8,10,16.93,4.54,1.61,41,2m,6000,Standard Deviation,Individual,,-0.316787736,0.016143559,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,23.24,5.56,1.97,,,32.03,,2,8,8,0.4,12000,119,8,10,12.51,3.28,1.16,41,2m,12000,Standard Deviation,Individual,,-0.619346608,0.015747599,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,17.94,3.54,1.25,,,32.03,,2,8,8,0.1,3000,103,8,43,16.04,2.15,0.76,42,2n,3000,Standard Deviation,Individual,,-0.111947254,0.007112952,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Skin,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,17.94,3.54,1.25,,,32.03,,2,8,8,0.2,6000,119,8,43,22.11,12.89,4.56,42,2n,6000,Standard Deviation,Individual,,0.208997138,0.047352384,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,42.21,10.3,3.64,,,32.03,,2,8,8,0.1,3000,24,8,10,26.42,3.77,1.33,43,2o,3000,Standard Deviation,Individual,,-0.468535861,0.009988329,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,42.21,10.3,3.64,,,32.03,,2,8,8,0.2,6000,61,8,10,28.14,3.77,1.33,43,2o,6000,Standard Deviation,Individual,,-0.405465108,0.009686694,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,10,42.21,10.3,3.64,,,32.03,,2,8,8,0.4,12000,119,8,10,22.3,3.43,1.21,43,2o,12000,Standard Deviation,Individual,,-0.638070481,0.010400352,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,71.37,16.46,5.82,,,32.03,,2,8,8,0.1,3000,103,8,43,54.56,14.07,4.97,44,2p,3000,Standard Deviation,Individual,,-0.268576599,0.014961565,Alves and Agusti (2021),
2,2021,Fish,Sparus aurata,Sparus aurata,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,CAT Activity,Kidney,27.5,UVB,,,32.03,,2,8,8,0,0,0,8,43,71.37,16.46,5.82,,,32.03,,2,8,8,0.2,6000,119,8,43,51.47,22.31,7.89,44,2p,6000,Standard Deviation,Individual,,-0.326878499,0.030134278,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,88.7,8.69,3.07,,,32.26,,2,8,8,0.1,3000,8,8,3,90.87,4.78,1.69,13,2q,3000,Standard Deviation,Individual,,0.024170024,0.001545661,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,88.7,8.69,3.07,,,32.26,,2,8,8,0.2,6000,19,8,3,67.39,12.6,4.45,13,2q,6000,Standard Deviation,Individual,,-0.27476325,0.005569568,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,88.7,8.69,3.07,,,32.26,,2,8,8,0.4,12000,34,8,3,61.3,8.69,3.07,13,2q,12000,Standard Deviation,Individual,,-0.369480046,0.003711834,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,67.39,6.95,2.46,,,32.26,,2,8,8,0.1,3000,38,8,15,101.3,8.7,3.08,14,2r,3000,Standard Deviation,Individual,,0.407589772,0.002251498,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,67.39,6.95,2.45,,,32.26,,2,8,8,0.2,6000,94,8,15,86.09,10.87,3.84,14,2r,6000,Standard Deviation,Individual,,0.244896622,0.003322301,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,95.65,9.13,3.23,,,32.26,,2,8,8,0.1,3000,110,8,43,105.65,9.56,3.38,15,2s,3000,Standard Deviation,Individual,,0.099436048,0.002162387,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Liver,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,95.65,9.13,3.23,,,32.26,,2,8,8,0.2,6000,270,8,43,105.65,17.39,6.15,15,2s,6000,Standard Deviation,Individual,,0.099436048,0.004525538,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,28.91,2.28,0.81,,,32.26,,2,8,8,0.1,3000,8,8,3,25.06,2.8,0.99,16,2t,3000,Standard Deviation,Individual,,-0.142914607,0.00233797,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,28.91,2.28,0.81,,,32.26,,2,8,8,0.2,6000,19,8,3,18.57,4.55,1.61,16,2t,6000,Standard Deviation,Individual,,-0.442640181,0.008281749,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,3,28.91,2.28,0.81,,,32.26,,2,8,8,0.4,12000,34,8,3,13.67,3.33,1.18,16,2t,12000,Standard Deviation,Individual,,-0.748983905,0.008195036,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,33.29,3.51,1.24,,,32.26,,2,8,8,0.1,3000,38,8,15,36.45,4.73,1.67,17,2u,3000,Standard Deviation,Individual,,0.090684407,0.00349455,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,15,33.29,3.51,1.24,,,32.26,,2,8,8,0.2,6000,94,8,15,32.42,7.01,2.48,17,2u,6000,Standard Deviation,Individual,,-0.026481535,0.007233754,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,35.22,4.03,1.42,,,32.26,,2,8,8,0.1,3000,110,8,43,30.67,4.03,1.42,18,2v,3000,Standard Deviation,Individual,,-0.138329125,0.0037948,Alves and Agusti (2021),
2,2021,Fish,Dicentrarchus labrax,Dicentrarchus labrax,Juvenile,Fish Farms (unspecified which species came from where; two farms indicated),Captive,Saudi Arabia ,,,Subtropical,Aquatic,Gene and Cellular Processes,Oxidative Stress Response/Defense,GST Activity,Skin,27.5,UVB,,,32.26,,2,8,8,0,0,0,8,43,35.22,4.03,1.42,,,32.26,,2,8,8,0.2,6000,270,8,43,30.67,2.28,0.81,18,2v,6000,Standard Deviation,Individual,,-0.138329125,0.002327395,Alves and Agusti (2021),
